ID,Description,CustID,Type,Term,Weekly,Start,Deposit,APS,Supplier,Notes
M001,Starline ALC Dishwasher,HH026,Lease-to-Own (36m),36,94.56,2024-05-17,378.24,APS1064,,
M002,Rational CMP61 Combi Oven,HH009,Rent (12m),12,134.53,2025-05-14,,,,
M003,Starline M2 Dishwasher,HH009,Rent (12m),12,70.59,2025-05-14,,,,
M004,FPG INLINE-3000 Display Cabinet,HH009,Rent (12m),12,58.81,2025-05-14,,,,
M006,Rational ICC 20 Tray Gas Combi,HH021,Rent (12m),12,365.0,2025-08-18,484.35,,,
M007,Rational SCC WE101 Combi Oven,HH024,Lease-to-Own (36m),36,160.0,2025-10-28,,,,
M008,Rational SCCWE101E Combi Oven,HH030,Rent (12m),12,269.15,2024-09-12,807.45,APS1061,,
M009,Rational SCC101 10 Tray Combi,HH030,Rent (12m),12,245.0,2025-05-19,807.45,APS983,,
M010,Turbofan E31D4 Convection Oven,HH010,Lease-to-Own (36m),36,41.3,2024-09-03,165.2,,,
M011,Delta Planetary Mixer 5L,HH010,Lease-to-Own (36m),36,18.0,2024-09-03,165.2,,,
M012,Delta JET40WI-C 40L Mixer,HH017,Rent (12m),12,33.57,2024-12-24,134.28,APS112,,
M013,Starline M2 Dishwasher,HH003,Lease-to-Own (36m),36,55.0,2024-07-08,110.0,APS1080,,
M014,Starline M2 Dishwasher,HH015,Lease-to-Own (36m),36,50.0,2025-08-20,300.0,,,
M016,Starline M2C Dishwasher,HH016,Lease-to-Own (36m),36,65.0,2025-03-01,,,,
M019,Turbofan E32D4 Oven,HH025,Lease-to-Own (36m),36,65.0,2025-06-16,490.0,,,
M020,Starline M1 Dishwasher,HH014,Lease-to-Own (36m),36,45.4,2026-02-23,623.5,APS1234,,
M021,Waldorf C9D 6 Burner Cooktop,HH014,Lease-to-Own (36m),36,38.9,2026-02-23,623.5,APS1342,,
M022,Waldorf Gas Fryer,HH014,Lease-to-Own (36m),36,30.46,2026-02-23,623.5,APS1406,,
M023,Waldorf Gas Deep Fryer,HH005,Lease-to-Own (36m),36,45.0,2025-07-07,,,,
M024,Rational SCC WE101 Combi Oven,HH005,Lease-to-Own (36m),36,160.0,2025-07-22,,,,
M025,Blue Seal G594-LS 600mm Gas,HH005,Lease-to-Own (36m),36,50.0,2025-07-22,,,,
M027,Rational SCC 101G Gas Combi,HH020,Lease-to-Own (36m),36,189.17,2025-12-16,945.85,APS1355,,
M028,Starline AL8 Dishwasher,HH022,Rent (12m),12,163.14,2024-09-16,504.42,APS646,,
M029,Rational CM101E 10 Tray Combi,HH007,Lease-to-Own (36m),36,136.35,2024-02-28,1054.0,APS862,,
M030,Blue Seal GT46 Gas Fryer,HH007,Lease-to-Own (36m),36,35.6,2024-02-28,1054.0,APS958,,
M031,Blue Seal Gas Griddle 900mm,HH007,Lease-to-Own (36m),36,44.45,2024-02-28,1054.0,APS980,,
M032,Garland GF 36-6R Gas Range,HH007,Lease-to-Own (36m),36,47.1,2024-02-28,1054.0,APS939,,
M033,Starline AL8 Dishwasher,HH007,Lease-to-Own (36m),36,84.35,2024-02-28,1054.0,,,
M034,Turbofan E33D5 Oven,HH031,Lease-to-Own (36m),36,42.52,2024-05-13,170.08,,,
M035,Rational SCC WE 201G Combi x2 (consolidated),HH028,Month-to-Month,0,230.0,2025-04-30,1980.0,APS925,,
M038,Starline M2 Dishwasher,HH027,Lease-to-Own (36m),36,60.0,2025-09-08,360.0,,,
M039,Turbofan E32D4 Oven,HH027,Lease-to-Own (36m),36,55.0,2026-03-12,360.0,,,
M040,Blue Seal GE56C Gas Range,HH032,Lease-to-Own (36m),36,70.9,2025-06-27,283.6,,,
M046,Rational SCC WE101 Combi Oven,HH029,Lease-to-Own (36m),36,189.17,2025-12-15,1241.25,,,
M047,Blue Seal Char Grill G594-LS,HH029,Lease-to-Own (36m),36,59.08,2025-12-15,,,,
M048,Rational SCC61E 6 Tray Combi,HH013,Lease-to-Own (36m),36,130.3,2025-09-22,651.5,,,
M050,Turbofan E32SUB Oven + Proofer,HH011,Lease-to-Own (36m),36,78.0,2025-04-07,390.0,,,
M051,Turbofan E31D4 Oven,HH019,Lease-to-Own (36m),36,54.0,2025-09-15,360.0,,,
M052,Turbofan E32Max Oven,HH008,Lease-to-Own (36m),36,153.69,2024-06-19,,APS1112,,
M053,Waldorf 800 Gas Tilting Pan,HH008,Lease-to-Own (36m),36,89.83,2024-06-19,,,,
M054,Rational CD201 20 Tray Combi,HH008,Lease-to-Own (36m),36,35.42,2024-06-19,,,,
M055,Alto Shaam Holding Cabinet,HH008,Lease-to-Own (36m),36,59.1,2024-06-19,2028.24,APS936,,
M056,Rational SCCWE101E 10 Tray Combi,HH009,Lease-to-Own (36m),36,236.48,2025-09-24,1182.4,,,
M057,Waldorf 4 Burner Gas Cooktop,HH014,Lease-to-Own (36m),36,48.9,2026-02-23,623.5,,,
M058,Equipment (unspecified),HH038,Rent (12m),12,414.5,2024-03-14,,,,
M059,Starline M2 Pass-Through Commercial Dishwasher,HH044,Lease-to-Own (Standard),36,61.2,2026-04-28,,,,
M060,Rational APS1530 20 Tray Combi Oven,HH021,Lease-to-Own (36m),12,360.0,2026-04-06,,APS1530,,
